id;place_date;total_price;payment;payment_reference;payment_status;message
1;2021-03-17T10:18:41;18398;CASH;Gabon Polarised Rustic;KO;wireless Optimization
2;2021-03-16T23:27:11;20680;CASH;Wooden matrix Infrastructure;EN_COURS;Avon
3;2021-03-17T11:36:02;67238;CREDIT_CARD;framework;VALIDE;empower Functionality
4;2021-03-17T03:59:06;12291;CREDIT_CARD;haptic;KO;Accountability
5;2021-03-17T06:33:20;65074;ORANGE_MONEY;French Polynesia Interactions;EN_COURS;fuchsia whiteboard Handmade Metal Soap
6;2021-03-17T09:57:20;86421;CREDIT_CARD;open-source Pass;EN_COURS;connecting Awesome Rubber Fish connecting
7;2021-03-17T03:49:00;45227;OTHERS;Pizza Avon;VALIDE;protocol Accounts optical
8;2021-03-17T00:42:04;91776;CREDIT_CARD;Parkway virtual;EN_COURS;Intelligent Rubber Chair wireless Intelligent
9;2021-03-17T07:30:26;72942;WAVE;Checking Account;KO;Fantastic
10;2021-03-17T05:09:25;86736;WAVE;lime Money Market Account action-items;EN_COURS;reboot
